16 81 307 ; 33 100 491 ; 49 0 365 ; 44 21 303 ; 38 11 28 ; 
96 111 209 ; 50 32 89 ; 81 69 459 ; 30 2 48 ; 42 79 156 ; 
52 38 119 ; 5 75 225 ; 101 26 55 ; 113 112 14 ; 65 50 226 ; 
49 111 169 ; 81 68 41 ; 23 127 271 ; 25 35 116 ; 104 7 71 ; 
15 3 225 ; 90 112 229 ; 116 11 230 ; 100 101 215 ; 22 115 249 ; 
5 76 466 ; 73 6 311 ; 73 113 93 ; 108 46 468 ; 116 9 69 ; 
119 14 434 ; 103 71 305 ; 114 5 71 ; 87 40 15 ; 74 61 135 ; 
22 20 354 ; 28 27 379 ; 14 116 301 ; 60 100 430 ; 69 110 314 ; 
83 96 462 ; 26 97 345 ; 31 60 484 ; 71 11 490 ; 5 62 25 ; 
25 8 167 ; 52 88 438 ; 41 113 174 ; 13 83 204 ; 123 33 144 ; 
91 100 213 ; 60 29 340 ; 120 62 106 ; 3 80 241 ; 66 58 313 ; 
74 109 218 ; 34 55 127 ; 19 30 499 ; 102 18 132 ; 8 67 346 ; 
108 56 357 ; 9 1 305 ; 71 99 141 ; 24 101 494 ; 82 46 321 ; 
63 124 315 ; 119 99 478 ; 21 126 336 ; 39 67 248 ; 106 21 290 ; 
35 98 278 ; 36 11 230 ; 7 113 140 ; 108 79 491 ; 26 48 479 ; 
22 84 129 ; 121 66 313 ; 120 82 264 ; 59 118 213 ; 80 1 12 ; 
50 19 159 ; 62 18 218 ; 47 26 382 ; 126 105 257 ; 46 81 290 ; 
2 10 440 ; 68 3 279 ; 23 115 432 ; 13 120 456 ; 14 37 279 ; 
34 60 303 ; 52 118 34 ; 78 84 276 ; 55 57 375 ; 8 11 473 ; 
19 120 95 ; 22 123 58 ; 10 119 338 ; 2 108 125 ; 39 27 19 ; 
99 27 457 ; 89 77 423 ; 45 61 499 ; 103 92 121 ; 114 121 485 ; 
106 68 421 ; 101 18 60 ; 93 37 67 ; 73 78 353 ; 100 5 483 ; 
127 75 323 ; 76 50 178 ; 9 78 324 ; 101 55 437 ; 94 88 332 ; 
35 2 447 ; 53 62 221 ; 90 17 435 ; 41 110 372 ; 46 78 489 ; 
121 85 269 ; 44 63 165 ; 122 3 61 ; 49 117 383 ; 10 77 208 ; 
12 24 159 ; 74 78 182 ; 92 105 483 ; 74 97 254 ; 24 34 471 ; 
109 71 449 ; 45 108 203 ; 48 94 155 ; 37 89 305 ; 115 57 274 ; 
11 120 400 ; 89 90 456 ; 66 114 3 ; 35 100 107 ; 69 127 121 ; 
13 72 382 ; 121 11 63 ; 87 122 344 ; 48 99 49 ; 106 126 318 ; 
98 34 337 ; 61 83 349 ; 47 78 130 ; 19 37 413 ; 18 70 420 ; 
90 0 494 ; 102 40 403 ; 96 124 164 ; 68 1 340 ; 66 44 460 ; 
100 73 290 ; 55 114 137 ; 5 117 182 ; 42 58 261 ; 113 34 128 ; 
113 80 254 ; 25 11 292 ; 22 64 446 ; 23 76 223 ; 67 8 279 ; 
13 47 37 ; 127 56 453 ; 116 126 485 ; 46 115 134 ; 81 123 9 ; 
33 21 82 ; 45 9 235 ; 109 100 33 ; 57 31 319 ; 65 30 494 ; 
112 95 230 ; 40 4 11 ; 38 97 390 ; 25 68 351 ; 20 81 101 ; 
41 79 118 ; 51 62 44 ; 23 71 485 ; 54 102 106 ; 84 29 247 ; 
51 23 220 ; 55 30 169 ; 25 36 229 ; 93 31 84 ; 46 73 345 ; 
125 67 290 ; 59 95 375 ; 3 40 42 ; 105 94 89 ; 6 77 91 ; 
29 126 475 ; 59 31 482 ; 96 104 418 ; 127 88 415 ; 72 98 460 ; 
12 0 266 ; 107 71 415 ; 20 66 494 ; 114 83 389 ; 64 27 271 ; 
62 54 133 ; 93 5 59 ; 69 11 58 ; 30 42 374 ; 0 38 6 ; 
0 80 258 ; 71 119 102 ; 9 89 82 ; 93 63 34 ; 120 14 64 ; 
46 99 272 ; 51 86 230 ; 62 5 107 ; 104 19 133 ; 14 33 391 ; 
94 120 79 ; 85 90 487 ; 47 40 342 ; 110 10 336 ; 124 95 261 ; 
95 115 209 ; 54 70 7 ; 59 117 139 ; 78 106 21 ; 112 125 422 ; 
104 16 152 ; 66 35 275 ; 107 126 112 ; 117 98 103 ; 84 35 193 ; 
72 92 153 ; 14 67 469 ; 3 94 51 ; 110 56 106 ; 107 122 360 ; 
124 74 172 ; 31 121 300 ; 29 126 199 ; 127 49 302 ; 34 83 143 ; 
126 112 436 ; 66 109 156 ; 32 32 182 ; 88 14 325 ; 82 75 367 ; 
29 119 403 ; 22 12 11 ; 20 99 178 ; 70 37 304 ; 25 92 19 ; 
9 104 290 ; 119 60 28 ; 23 30 390 ; 38 4 367 ; 113 87 331 ; 
104 22 58 ; 116 81 347 ; 87 44 29 ; 124 36 14 ; 89 27 460 ; 
65 53 357 ; 126 78 266 ; 28 40 453 ; 32 35 25 ; 120 119 383 ; 
14 29 92 ; 96 96 472 ; 12 57 381 ; 48 39 164 ; 75 91 477 ; 
1 40 314 ; 79 127 111 ; 119 76 377 ; 27 49 294 ; 18 60 186 ; 
47 56 126 ; 15 29 17 ; 72 118 17 ; 112 38 9 ; 75 83 297 ; 
116 89 48 ; 115 33 109 ; 63 102 304 ; 113 72 228 ; 45 75 395 ; 
102 69 489 ; 3 78 420 ; 121 55 183 ; 31 44 11 ; 115 81 271 ; 
76 66 71 ; 109 51 119 ; 84 116 386 ; 28 44 473 ; 103 127 258 ; 
45 100 124 ; 123 120 162 ; 51 27 49 ; 95 6 166 ; 49 98 177 ; 
115 9 60 ; 38 36 129 ; 26 50 198 ; 70 127 442 ; 69 62 7 ; 

